canonical_smiles,pchembl_value
CC(=O)Nc1cc(-c2ccnc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1,6.24
CC(=O)Nc1cc(-c2ccncc2)nc(-n2nc(C)cc2C)n1,6.09
CC(=O)Nc1cc(-c2cncc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1,6.66
CC(=O)Nc1cc(-c2cncc(O)c2)nc(-n2nc(C)cc2C)n1,6.71
CC(=O)Nc1cc(-c2nnc(N)nc2-c2ccccc2)ccc1O,8.69
CC(=O)Nc1cc(-n2cccn2)nc(-c2ccco2)n1,8.04
CC(=O)Nc1cc(N2CCCC2)nc(-n2nc(C)cc2C)n1,5.3
CC(=O)Nc1cc(N2CCCC2=O)nc(-n2nc(C)cc2C)n1,6.04
CC(=O)Nc1cc(N2CCCC2C)nc(-n2nc(C)cc2C)n1,5.98
CC(=O)Nc1cc(N2CCCCC2)nc(-n2nc(C)cc2C)n1,5.47
CC(=O)Nc1cc(N2CCC[C@@H]2COc2ccccn2)nc(-n2nc(C)cc2C)n1,7.19
CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,6.49
CC(=O)Nc1ccc(-c2ccncc2)c(-c2cccc(F)c2)n1,7.24
CC(=O)Nc1ccc(-c2ccncc2)c(-c2ccco2)n1,6.45
CC(=O)Nc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,6.38
CC(=O)Nc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,5.6
CC(=O)Nc1cccc(-c2cn3c(nc4ccccc43)c(N)n2)c1,7.77
CC(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,6.34
CC(=O)Nc1nc(-c2ccccc2)c(-c2nc(C)no2)s1,6.43
CC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.32
CC(=O)Nc1nc(SCCO)c(C#N)c(-c2ccco2)c1C#N,6.61
CC(=O)Nc1nc2ccccc2c2cn(-c3ccc(C)cc3)nc12,6.34
CC(=O)Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12,5.7
CC(=O)Nc1nc2ccccc2n2nc(-c3ccco3)nc12,6.95
CC(=O)Nc1sc(-c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)c(-c2cccc(C(F)(F)F)c2)c1C(=O)c1ccccc1,6.455
CC(=O)Oc1ccc(-n2nc3c(=O)[nH]c4ccccc4n3c2=O)cc1,6.5
CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1OC(C)=O,5.07
CC(=O)Oc1cccc2cc(-c3ccccc3)c(=O)oc12,5.16
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,5.15
CC(C)(C)C(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,7.56
CC(C)(C)C(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.65
CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,6.39
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2ncc(Cl)s2)cc1,6.66
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1F,6.19
CC(C)(C)Cc1c(C#Cc2ccc(F)c(F)c2)sc(N)c1C(=O)c1ccc(Cl)cc1,5.84
CC(C)(C)NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1,5.76
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,9.21
CC(C)(C)OC(=O)C1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,7.22
CC(C)(C)OC(=O)N1CCN(c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,5.27
CC(C)(C)OC(=O)N1CC[C@@H](Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1,6.225
CC(C)(C)OC(=O)NCCCCCNc1nc(N)n2nc(-c3ccco3)nc2n1,6.02
