canonical_smiles,pchembl_value
Cc1c(F)c(Nc2ccc(-c3cn(C)cn3)cn2)cc2c1ncn2CC1CC1,6.85
Cc1cc(-c2nnc3c4ccccc4c(OCc4ccccn4)nn23)no1,9.4
Cc1cc(-c2nnc3c4ccccc4c(OCc4cn(C)nn4)nn23)no1,9.06
Cc1cc(-c2nncc3c(C(C)(C)C)c(OCc4ncnn4C)nn23)no1,9.09
Cc1cc(C)c(-n2ccn3nc(-c4cccnc4)cc23)cc1NC(=O)c1cc(C#N)cc(S(F)(F)(F)(F)F)c1,6.66
Cc1cc(Cn2c(=O)c3cncn3c3ccccc32)no1,7.5
Cc1ccc(-c2cn3c(O)nc4c(c3n2)CN(Cc2ccccc2)CC4)cc1,6.58
Cc1ccc(-c2cnc([C@@]3(O)CC[C@H](C(=O)O)C(C)(C)C3)s2)cc1Nc1cccc(C(F)(F)F)n1,6.11
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,7.05
Cc1ccc(-c2noc(C(F)F)c2COc2ccc(C(=O)NC3CCOCC3)cn2)cn1,7.3
Cc1ccc(-c2noc(C)c2COc2cc(C)c(C(=O)NC3CCOCC3)nn2)cn1,7.68
Cc1ccc(-c2noc(C)c2COc2cc3c(cn2)C(=O)N(C)C3)cn1,7.72
Cc1ccc(-c2noc(C)c2COc2cc3c(cn2)C(=O)N(C2CC4(COC4)C2)C3)cn1,7.81
Cc1ccc(-c2noc(C)c2COc2cc3c(cn2)C(=O)N(C2CCOCC2)C3)cn1,7.97
Cc1ccc(-c2noc(C)c2COc2cc3c(cn2)C(=O)N(C2CCSCC2)C3)cn1,8.02
Cc1ccc(-c2noc(C)c2COc2cc3c(cn2)C(=O)N(CC(C)C)C3)cn1,7.86
Cc1ccc(-c2noc(C)c2COc2cc3c(cn2)C(=O)N(CCO)C3)cn1,7.79
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3C4COCC3C4)nn2)cn1,8.22
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CC(C#N)C3)nn2)cn1,7.72
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CC(C)(F)C3)nn2)cn1,7.93
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CC(C)(O)C3)nn2)cn1,8.1
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CC(F)(F)C3)nn2)cn1,7.89
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CC(F)C3)nn2)cn1,8.14
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CC4(COC4)C3)nn2)cn1,8.15
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CCC(F)(F)CC3)nn2)cn1,7.02
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CCC3)nn2)cn1,8.14
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CCC34COC4)nn2)cn1,8.34
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3C[C@@H]4C[C@H]3CO4)nn2)cn1,7.34
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC(C)(C)C)nn2)cn1,7.71
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC(C)(C)CO)nn2)cn1,8.07
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC(C)(CO)CO)nn2)cn1,8.02
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC(C)C(F)(F)F)nn2)cn1,7.88
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC(C)C)nn2)cn1,8.12
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC3(C#N)CC3)nn2)cn1,8.11
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC3(C)CC3)nn2)cn1,8.05
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC3(C)CCC3)nn2)cn1,7.91
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC3(C)CCCC3)nn2)cn1,7.55
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC3(C)CCOC3)nn2)cn1,7.76
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC3(C)CCOCC3)cn2)cn1,7.22
Cc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC3(C)CCOCC3)nn2)cn1,7.87
