canonical_smiles,pchembl_value
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(OC(F)(F)F)ccc2-n2nccn2)C1,6.46
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2ccc(C)cc2-n2nccn2)C1,7.48
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2ccccc2-n2cccn2)C1,5.9
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2ccccc2-n2nccn2)C1,6.48
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C)ccc2-n2cccn2)C1,6.08
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C)ccc2-n2nccn2)C1,6.63
C=C1C[C@@H](c2nc3cc(C(F)(F)F)c(Cl)cc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,7.77
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(OC)c2F)C1,7.37
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2c(C)cccc2-n2nccn2)C1,6.84
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(C)c(C)cc2-n2nccn2)C1,8.22
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(C)ccc2-n2cccn2)C1,6.83
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,7.39
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(Cl)ccc2-n2nccn2)C1,7.39
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(F)ccc2-n2nccn2)C1,7.32
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(OC)c(OC)cc2-n2nccn2)C1,7.24
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2ccc(C)cc2-n2nccn2)C1,7.92
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2nc(C)ccc2-n2nccn2)C1,7.05
C=C1C[C@@H](c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.22
C=C1C[C@@H](c2nc3cc(C)c(C)cc3n2C)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,6.38
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(C)c2F)C1,8.3
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2c(C)cccc2-n2nccn2)C1,6.9
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2c(F)cccc2-n2nccn2)C1,7.11
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(C(F)(F)F)ccc2-n2nccn2)C1,7.17
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(C)c(C)cc2-n2nccn2)C1,8.7
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(C)ccc2-n2cccn2)C1,7.62
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(Cl)ccc2-n2nccn2)C1,7.89
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(F)ccc2-n2nccn2)C1,7.24
C=C1C[C@@H](c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2cc(OC(F)(F)F)ccc2-n2nccn2)C1,6.62
